"","UP/DOWN","statistic","p.value","FDRp.value","path_name"
"P-hsa05161-44","UP",4.54539039627795,5.48684809417185e-06,8.79771540569776e-06,"Hepatitis B: CXCL8"
"P-hsa04015-14","DOWN",-4.53921605307488,5.64997089388988e-06,9.05153321685518e-06,"Rap1 signaling pathway: MAPK14"
"P-hsa05231-34","DOWN",-4.5389476033704,5.65716746651328e-06,9.05532949417997e-06,"Choline metabolism in cancer: PLD1"
"P-hsa04971-37","DOWN",-4.53277326016732,5.8251309668994e-06,9.31623673819546e-06,"Gastric acid secretion: KCNQ1"
"P-hsa05217-19","UP",4.52820961519114,5.95233464307138e-06,9.51156711277846e-06,"Basal cell carcinoma: HHIP"
"P-hsa04071-24","UP",4.523109070806,6.09764891655142e-06,9.72720184307012e-06,"Sphingolipid signaling pathway: PTEN"
"P-hsa05131-12","DOWN",-4.523109070806,6.09764891655142e-06,9.72720184307012e-06,"Shigellosis: ARPC5"
"P-hsa05205-220","DOWN",-4.52069302346566,6.16766109550044e-06,9.83052864499475e-06,"Proteoglycans in cancer: FAS"
"P-hsa05014-33 34","DOWN",-4.51102883410434,6.45547901913734e-06,1.02805421391355e-05,"Amyotrophic lateral sclerosis (ALS): NEFH PRPH"
"P-hsa05150-66","DOWN",-4.50941813587745,6.5046811284654e-06,1.03501117871086e-05,"Staphylococcus aureus infection: IL10"
"P-hsa04064-116","DOWN",-4.50673363883264,6.58748289373186e-06,1.04729812785093e-05,"NF-kappa B signaling pathway: GADD45B"
"P-hsa04151-25","UP",4.5043175914923,6.66286583328657e-06,1.05838580044417e-05,"PI3K-Akt signaling pathway: CDKN1B"
"P-hsa04650-110 111","DOWN",-4.49975394651612,6.8075131975043e-06,1.0804479491132e-05,"Natural killer cell mediated cytotoxicity: ITGAL ITGB2"
"P-hsa05152-88 89","DOWN",-4.49733789917579,6.88530241709351e-06,1.091870442474e-05,"Tuberculosis: ITGAX ITGB2"
"P-hsa04530-5 15","UP",4.49653255006234,6.91142057283386e-06,1.09323988150391e-05,"Tight junction: IGSF5 MPDZ"
"P-hsa04610-44","UP",4.49653255006234,6.91142057283386e-06,1.09323988150391e-05,"Complement and coagulation cascades: C3"
"P-hsa04810-29","UP",4.49653255006234,6.91142057283386e-06,1.09323988150391e-05,"Regulation of actin cytoskeleton: ACTN4"
"P-hsa04912-14","UP",4.49626410035786,6.92014766413456e-06,1.09369814809742e-05,"GnRH signaling pathway: ATF4"
"P-hsa05031-10","UP",4.48042556779346,7.45412201281944e-06,1.17709872862368e-05,"Amphetamine addiction: CACNA1C"
"P-hsa04650-119","DOWN",-4.47827797015761,7.52948963763839e-06,1.18800021532461e-05,"Natural killer cell mediated cytotoxicity: KLRC4-KLRK1"
"P-hsa04921-55","DOWN",-4.42754097601064,9.53727812165359e-06,1.50352384506068e-05,"Oxytocin signaling pathway: PTGS2*"
"P-hsa04740-16","UP",4.41062864462832,1.03134863966159e-05,1.62452564903874e-05,"Olfactory transduction: PRKG1"
"P-hsa04722-84","UP",4.40552810024317,1.05591837862007e-05,1.66183127373427e-05,"Neurotrophin signaling pathway: NFKB1*"
"P-hsa04550-22","UP",4.40338050260732,1.06642987780336e-05,1.6769676871409e-05,"Signaling pathways regulating pluripotency of stem cells: SMAD2"
"P-hsa05211-42","DOWN",-4.40096445526699,1.078374737816e-05,1.69433082759029e-05,"Renal cell carcinoma: SLC2A1*"
"P-hsa04520-9 57","UP",4.39425321265496,1.11222887386821e-05,1.7460597216542e-05,"Adherens junction: LEF1 CTNNB1"
"P-hsa05133-24","UP",4.38700507063396,1.14993024542361e-05,1.80373673947716e-05,"Pertussis: NFKB1"
"P-hsa04620-76","DOWN",-4.38619972152052,1.15419380197171e-05,1.80891192355799e-05,"Toll-like receptor signaling pathway: CCL3L3"
"P-hsa04261-36","UP",4.37868312979504,1.19472133512197e-05,1.87086579690218e-05,"Adrenergic signaling in cardiomyocytes: MAPK1"
"P-hsa04115-9","DOWN",-4.37573018304574,1.21101151955119e-05,1.89321467556503e-05,"p53 signaling pathway: RPRM"
"P-hsa04660-14","UP",4.37573018304574,1.21101151955119e-05,1.89321467556503e-05,"T cell receptor signaling pathway: NFKB1"
"P-hsa04380-51","DOWN",-4.37358258540989,1.22299184040728e-05,1.91035195054459e-05,"Osteoclast differentiation: FOS*"
